Designator,Mid X,Mid Y,Rotation,Layer
ANT1,162.0,-55.0,270.0,top
C1,114.19,-51.4,180.0,top
C10,137.905,-64.45,0.0,top
C11,133.9425,-60.44,0.0,top
C12,133.92875,-62.11,180.0,top
C13,150.3,-53.76,0.0,top
C14,150.25,-49.49,180.0,top
C15,150.29,-51.65,180.0,top
C16,150.3125,-58.15,0.0,top
C17,150.32,-60.39,0.0,top
C18,150.29,-55.92,0.0,top
C19,129.92,-52.69,180.0,top
C2,125.17,-48.23,0.0,top
C20,129.82,-54.51,180.0,top
C21,129.76,-56.32,180.0,top
C22,112.92,-78.15,180.0,top
C23,112.9675,-75.73,180.0,top
C24,186.76,-50.68,180.0,top
C25,126.9025,-75.69,180.0,top
C26,137.92,-62.88,0.0,top
C3,130.0,-36.36,0.0,top
C4,129.9,-45.07,0.0,top
C5,125.39,-45.12,180.0,top
C6,117.7,-51.41,0.0,top
C7,115.03,-40.95,0.0,top
C8,131.4725,-48.98,90.0,top
C9,137.6225,-48.98,90.0,top
D1,123.92,-31.62,0.0,top
D2,123.6875,-35.99,180.0,top
D3,142.9725,-31.0225,180.0,top
D4,186.8,-55.0,270.0,top
J1,111.5,-34.0,180.0,top
J2,136.82,-40.75,270.0,top
L1,130.4525,-60.46,0.0,top
L2,130.44875,-62.08,0.0,top
LS1,134.75,-73.01,0.0,top
Q1,121.34,-44.0175,180.0,top
Q2,121.24,-48.2175,180.0,top
Q3,119.4775,-38.95,180.0,top
Q5,130.0525,-65.0,180.0,top
R1,123.87,-33.28,180.0,top
R10,143.0,-32.5225,180.0,top
R11,116.56,-75.74,180.0,top
R2,119.39,-35.38,0.0,top
R3,125.705,-38.645,180.0,top
R4,115.17,-39.27,0.0,top
R5,108.75,-39.3,180.0,top
R6,121.02,-52.77,0.0,top
R7,120.04,-75.82,0.0,top
R8,137.92,-61.32,180.0,top
R9,137.91,-59.775,0.0,top
SW1,132.63,-30.47,180.0,top
U1,115.75,-64.0,90.0,top
U2,112.305,-46.405,180.0,top
U3,119.8925,-32.38,0.0,top
U4,125.76,-41.6975,90.0,top
U5,134.9,-55.07,0.0,top
Y1,134.5325,-48.99,0.0,top
